Iteration,Confidence Score,x_min,y_min,x_max,y_max,Label
1016,0.3,10,67,1430,1016,bus
1017,0.3,10,67,1430,1016,bus
1018,0.3,10,68,1430,1016,bus
1019,0.3,10,68,1430,1016,bus
1020,0.45301983,11,69,1430,1016,wheel
1021,0.3,10,68,1429,1015,wheel
1022,0.3,10,68,1429,1014,wheel
1023,0.3,10,67,1428,1013,wheel
1024,0.3,10,67,1428,1012,wheel
1025,0.3,10,67,1428,1011,wheel
1026,0.3,9,66,1427,1010,wheel
1027,0.3,9,66,1427,1009,wheel
1028,0.3,9,65,1426,1008,wheel
1029,0.3,9,65,1426,1007,wheel
1030,0.46004632,9,65,1426,1007,bus
1031,0.3,23,65,1426,1007,bus
1032,0.3,38,65,1426,1008,bus
1033,0.3,52,65,1426,1009,bus
1034,0.3,67,65,1427,1009,bus
1035,0.3,82,65,1427,1010,bus
1036,0.3,96,65,1427,1011,bus
1037,0.3,111,65,1428,1012,bus
1038,0.3,126,65,1428,1012,bus
1039,0.3,140,65,1428,1013,bus
1040,0.3,155,65,1428,1014,bus
1041,0.3,170,65,1429,1014,bus
1042,0.3,184,65,1429,1015,bus
1043,0.3,199,65,1429,1016,bus
1044,0.4581063,214,65,1430,1017,bus
1045,0.45277786,253,66,1431,1018,bus
1046,0.3,243,106,1254,916,bus
1047,0.3,234,147,1077,814,bus
1048,0.3,225,188,900,712,bus
1049,0.3,215,229,723,610,bus
1050,0.3,206,270,546,508,bus
1051,0.4629586,197,311,369,407,car
1052,0.3,205,308,385,409,car
1053,0.48584363,214,305,401,411,car
1054,0.45350388,226,305,418,410,car truck
1055,0.3,238,304,437,410,car truck
1056,0.46915543,251,304,456,411,car
1057,0.46684557,263,304,472,412,car
1058,0.47073665,276,304,492,416,car
1059,0.5065304,290,303,516,419,car
1060,0.48456302,304,303,539,418,car
1061,0.48669744,319,303,564,426,car
1062,0.5114726,335,303,592,428,car
1063,0.48907647,352,302,618,431,car
1064,0.4797474,370,305,649,436,car
1065,0.48169762,390,303,680,440,car
1066,0.47450942,409,303,715,443,car
1067,0.48980853,431,303,751,447,car
1068,0.49169996,455,303,788,452,car
1069,0.46684557,479,303,823,458,car
1070,0.45423004,505,303,868,463,car
1071,0.47463113,536,305,909,468,car
1072,0.48553872,561,305,955,475,car
1073,0.47037166,594,307,997,483,car
1074,0.3,627,308,1046,490,car
1075,0.46587342,661,310,1095,498,car
1076,0.3,699,314,1147,507,car
1077,0.4920661,738,318,1200,517,car
1078,0.3,783,320,1251,527,car
1079,0.4571367,828,323,1302,537,car
