frame,labels,scores,boxes
801,"['truck', 'car', 'car']","[0.976125955581665, 0.9631646275520325, 0.9615830183029175]","[[7, 265, 112, 421], [1316, 409, 1431, 567], [1361, 569, 1434, 778]]"
802,"['truck', 'car', 'car']","[0.9739140272140503, 0.9437556266784668, 0.8534531593322754]","[[7, 264, 117, 422], [1373, 431, 1432, 553], [1405, 626, 1432, 737]]"
803,['truck'],[0.9754448533058167],"[[8, 262, 122, 421]]"
804,['truck'],[0.9774920344352722],"[[7, 262, 125, 422]]"
805,['truck'],[0.9701094627380371],"[[6, 262, 129, 421]]"
806,['truck'],[0.9780882596969604],"[[6, 259, 133, 423]]"
807,['truck'],[0.975381076335907],"[[8, 293, 141, 433]]"
808,['truck'],[0.9729328155517578],"[[7, 290, 146, 432]]"
809,['truck'],[0.9692831635475159],"[[8, 292, 149, 434]]"
810,['truck'],[0.9731326699256897],"[[7, 291, 153, 435]]"
811,['truck'],[0.9650167226791382],"[[7, 256, 158, 436]]"
812,['truck'],[0.9732713103294373],"[[7, 284, 162, 437]]"
813,['truck'],[0.9709669947624207],"[[7, 285, 165, 437]]"
814,['truck'],[0.9711924195289612],"[[7, 249, 171, 437]]"
815,['truck'],[0.9684414267539978],"[[7, 248, 177, 438]]"
816,['truck'],[0.9681422710418701],"[[7, 243, 182, 441]]"
817,['truck'],[0.9570798277854919],"[[7, 273, 189, 442]]"
818,['truck'],[0.9679204225540161],"[[7, 250, 196, 444]]"
819,['truck'],[0.9678888916969299],"[[7, 245, 202, 445]]"
820,['truck'],[0.9645854830741882],"[[7, 263, 210, 445]]"
821,['truck'],[0.9700889587402344],"[[7, 280, 217, 443]]"
